student_id,Name,batch_id,teacher_name,month,attendance_status,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk,course_demand,gpa,predicted_performance,timestamp,course
S2015,Rizwan Zafar,B002,Ahsan,January,Present,0.99,12.26,0,99,50,20,80.11,High,Medium,3.85,Below Average,18:45.6,Data Science
S2016,Bilal Hussain,B002,Ahsan,January,Present,0.44,3.62,3,44,36,6,24.7,Medium,High,1.18,Average,02:36.4,Data Science
S2017,Nouman Haider,B002,Ahsan,January,Late,0.5,3.37,2,50,37,5,27.55,Low,High,1.62,Above Average,13:59.2,Data Science
S2018,Rizwan Ali,B002,Ahsan,January,Absent,0.48,1.03,4,48,38,9,25.25,Medium,High,1.95,Average,01:54.1,Data Science
S2019,Madiha Saeed,B002,Ahsan,January,Present,0.93,16.23,0,93,50,17,90.87,High,Low,3.6,Below Average,16:27.1,Data Science
S2020,Junaid Khan,B002,Ahsan,January,Late,0.77,6.38,1,77,47,14,61.03,High,Low,2.91,Below Average,04:38.1,Data Science
S2021,Nadia Saleem,B002,Ahsan,January,Present,0.77,6.22,0,77,47,15,65.67,Medium,Medium,3.29,Average,23:47.2,Data Science
S2022,Hassan Raza,B002,Ahsan,January,Late,0.94,19.42,0,94,47,17,87.66,Medium,Medium,3.97,Average,00:57.3,Data Science
S2023,Mehwish Anwar,B002,Ahsan,January,Present,0.79,7.6,0,79,40,13,69.37,Medium,Low,3.48,Below Average,08:08.0,Data Science
S2024,Farhan Sheikh,B002,Ahsan,January,Present,0.73,5.47,1,73,44,11,54.49,High,High,2.13,Below Average,17:17.5,Data Science
S2025,Tanveer Abbas,B002,Ahsan,January,Present,0.72,4.73,2,72,39,13,47.31,Low,High,2.12,Above Average,22:43.5,Data Science
S2026,Amna Khan,B002,Ahsan,January,Present,0.78,8.13,1,78,40,13,72.85,Medium,Low,3.4,Average,18:13.9,Data Science
S2027,Rabia Tariq,B002,Ahsan,January,Present,0.51,1.54,2,51,37,7,22.34,Low,High,0.74,Excellent,23:38.6,Data Science
S2028,Hira Khan,B002,Ahsan,January,Present,0.42,1.45,3,42,33,10,26.58,Low,Medium,0.53,Above Average,02:05.1,Data Science
S2029,Furqan Iqbal,B002,Ahsan,January,Late,0.54,3.48,3,54,38,6,31.53,Low,Medium,1.57,Average,18:03.4,Data Science
S2030,Usama Khalid,B002,Ahsan,January,Present,0.89,8.35,0,89,43,12,78.06,Medium,Low,3.2,Below Average,08:52.2,Data Science
S2001,Noman Yousaf,B002,Ahsan,February,Present,0.63,6.38,1,63,39,11,52.66,Medium,Medium,2.45,Average,13:51.5,Data Science
S2002,Nadia Shah,B002,Ahsan,February,Late,0.98,13.63,0,98,46,15,96.58,Low,High,3.9,Excellent,09:31.3,Data Science
S2003,Hamza Tariq,B002,Ahsan,February,Present,0.64,5.09,1,64,40,13,58.02,Medium,Medium,2.76,Average,13:59.3,Data Science
S2004,Zainab Tariq,B002,Ahsan,February,Present,0.99,11.34,0,99,49,19,97.92,Low,High,3.86,Excellent,09:35.0,Data Science
S2005,Aliya Shah,B002,Ahsan,February,Absent,0.89,6.5,1,89,43,13,74.94,Low,High,3.37,Above Average,17:29.2,Data Science
S2006,Imran Khan,B002,Ahsan,February,Present,0.9,16.16,0,90,45,16,92.93,Low,High,3.85,Excellent,10:59.3,Data Science
S2007,Taimoor Khalid,B002,Ahsan,February,Present,0.61,5.51,2,61,39,10,51.67,Medium,Medium,2.09,Average,16:30.4,Data Science
S2008,Sana Qureshi,B002,Ahsan,February,Present,0.82,7.2,1,82,46,15,78,Low,High,3.21,Above Average,17:20.4,Data Science
S2009,Kamran Abbas,B002,Ahsan,February,Present,0.42,2.55,3,42,34,6,25.61,High,Low,1.1,Below Average,16:49.4,Data Science
S2010,Shehzad Aslam,B002,Ahsan,February,Late,0.71,6.15,2,71,43,10,56.55,Medium,Medium,2.05,Average,00:30.3,Data Science
S2011,Laiba Aslam,B002,Ahsan,February,Present,0.92,17.37,0,92,46,18,81.11,Low,High,3.54,Excellent,00:19.3,Data Science
S2012,Anum Shahid,B002,Ahsan,February,Absent,0.84,6.03,0,84,45,15,68.14,Low,High,3.36,Above Average,02:20.6,Data Science
S2013,Mariam Javed,B002,Ahsan,February,Present,0.97,18.48,0,97,49,20,97.74,Low,High,3.57,Excellent,19:50.4,Data Science
S2014,Iqra Javed,B002,Ahsan,February,Present,0.98,11.59,0,98,47,18,86.75,Low,High,3.92,Excellent,08:34.3,Data Science
S2015,Rizwan Zafar,B002,Ahsan,February,Present,0.72,6.96,1,72,40,10,52.36,Medium,Medium,2.15,Average,06:50.8,Data Science
S2016,Bilal Hussain,B002,Ahsan,February,Late,0.99,19.07,0,99,47,20,90.91,Low,High,3.83,Excellent,06:07.4,Data Science
S2017,Nouman Haider,B002,Ahsan,February,Present,0.93,12.8,0,93,45,20,82.32,Low,High,3.92,Excellent,22:57.5,Data Science
S2018,Rizwan Ali,B002,Ahsan,February,Late,0.92,17.3,0,92,48,18,98.91,Low,High,3.93,Excellent,16:54.1,Data Science
S2019,Madiha Saeed,B002,Ahsan,February,Present,0.6,3.28,2,60,35,9,21.31,High,Low,0.82,Below Average,19:27.3,Data Science
S2020,Junaid Khan,B002,Ahsan,February,Present,0.62,5.03,1,62,43,12,59.46,Medium,Medium,2.2,Average,06:52.4,Data Science
S2021,Nadia Saleem,B002,Ahsan,February,Present,0.96,17.54,0,96,45,20,98.25,Low,High,3.61,Excellent,00:47.4,Data Science
S2022,Hassan Raza,B002,Ahsan,February,Present,0.72,6.63,1,72,36,12,43.76,Medium,Medium,2.78,Average,09:42.6,Data Science
S2023,Mehwish Anwar,B002,Ahsan,February,Present,0.59,3.76,4,59,34,9,33.1,High,Low,1.34,Below Average,18:11.4,Data Science
S2024,Farhan Sheikh,B002,Ahsan,February,Present,0.46,2.33,2,46,35,7,28.88,High,Low,1.31,Below Average,01:55.4,Data Science
S2025,Tanveer Abbas,B002,Ahsan,February,Late,0.41,3,3,41,38,6,25.86,High,Low,0.78,Below Average,13:59.2,Data Science
S2026,Amna Khan,B002,Ahsan,February,Late,0.42,1.7,2,42,38,8,27.29,High,Low,1.46,Below Average,14:10.5,Data Science
S2027,Rabia Tariq,B002,Ahsan,February,Absent,0.97,13.76,0,97,45,19,82.63,Low,High,3.94,Excellent,16:54.2,Data Science
S2028,Hira Khan,B002,Ahsan,February,Present,0.48,2.92,4,48,38,10,29.95,High,Low,1.41,Below Average,07:31.6,Data Science
S2029,Furqan Iqbal,B002,Ahsan,February,Late,0.9,17.58,0,90,48,20,98.66,Low,High,3.73,Excellent,08:44.4,Data Science
S2030,Usama Khalid,B002,Ahsan,February,Present,0.76,7,0,76,49,13,70.16,Low,High,3.32,Above Average,15:30.2,Data Science
S2001,Noman Yousaf,B002,Ahsan,March,Absent,1,15.05,0,100,49,17,89.83,Low,High,3.55,Excellent,06:51.4,Data Science
S2002,Nadia Shah,B002,Ahsan,March,Present,0.98,10.46,0,98,46,17,84.22,Low,High,3.89,Excellent,12:13.9,Data Science
S2003,Hamza Tariq,B002,Ahsan,March,Present,0.53,3.62,2,53,36,7,35.24,High,Low,1.95,Below Average,20:40.0,Data Science
S2004,Zainab Tariq,B002,Ahsan,March,Present,1,16.05,0,100,49,18,81.65,Low,High,3.93,Excellent,23:23.5,Data Science
S2005,Aliya Shah,B002,Ahsan,March,Present,0.97,13.67,0,97,50,15,80.84,Low,High,3.79,Excellent,13:31.8,Data Science
S2006,Imran Khan,B002,Ahsan,March,Present,0.93,10.6,0,93,45,16,86.5,Low,High,3.96,Excellent,22:22.3,Data Science
S2007,Taimoor Khalid,B002,Ahsan,March,Late,0.49,2.8,4,49,33,9,32.08,High,Low,1.31,Below Average,17:57.3,Data Science
S2008,Sana Qureshi,B002,Ahsan,March,Present,0.84,8.37,0,84,41,13,79.01,Low,High,3.47,Above Average,12:37.1,Data Science
S2009,Kamran Abbas,B002,Ahsan,March,Late,0.99,16.2,0,99,49,19,85.68,Low,High,3.86,Excellent,22:28.6,Data Science
S2010,Shehzad Aslam,B002,Ahsan,March,Present,0.96,16.69,0,96,50,20,97.47,Low,High,3.59,Excellent,06:10.1,Data Science
S2011,Laiba Aslam,B002,Ahsan,March,Present,0.81,6.91,1,81,50,13,64.27,Low,High,3.38,Above Average,18:35.3,Data Science
S2012,Anum Shahid,B002,Ahsan,March,Late,0.84,8.52,1,84,47,12,61.55,Low,High,3.26,Above Average,13:37.2,Data Science
S2013,Mariam Javed,B002,Ahsan,March,Late,0.94,14.99,0,94,46,15,88.87,Low,High,3.71,Excellent,00:00.4,Data Science
S2014,Iqra Javed,B002,Ahsan,March,Present,0.96,11.38,0,96,45,17,88.62,Low,High,3.59,Excellent,08:10.5,Data Science
S2015,Rizwan Zafar,B002,Ahsan,March,Late,0.55,1.8,2,55,31,10,34.95,High,Low,1.68,Below Average,19:46.5,Data Science
S2016,Bilal Hussain,B002,Ahsan,March,Late,0.82,9.59,1,82,40,14,69.94,Low,High,2.94,Above Average,03:47.7,Data Science
S2017,Nouman Haider,B002,Ahsan,March,Present,0.75,5.76,2,75,41,10,54.5,Medium,Medium,2.28,Average,05:23.2,Data Science
S2018,Rizwan Ali,B002,Ahsan,March,Present,0.96,13.52,0,96,50,17,86.28,Low,High,3.68,Excellent,17:13.4,Data Science
S2019,Madiha Saeed,B002,Ahsan,March,Late,0.4,1.64,2,40,34,8,39.08,High,Low,1.04,Below Average,21:21.2,Data Science
S2020,Junaid Khan,B002,Ahsan,March,Late,0.51,1.1,4,51,40,7,30.8,High,Low,0.59,Below Average,03:29.4,Data Science
S2021,Nadia Saleem,B002,Ahsan,March,Present,0.69,5.64,1,69,40,14,45.14,Medium,Medium,2.12,Average,22:20.3,Data Science
S2022,Hassan Raza,B002,Ahsan,March,Present,0.52,1.08,3,52,35,10,36.51,High,Low,0.65,Below Average,19:49.4,Data Science
S2023,Mehwish Anwar,B002,Ahsan,March,Present,0.82,9.23,1,82,45,12,74.32,Low,High,3.17,Above Average,21:02.3,Data Science
S2024,Farhan Sheikh,B002,Ahsan,March,Present,0.5,3.75,4,50,30,10,28.85,High,Low,1.88,Below Average,03:54.4,Data Science
S2025,Tanveer Abbas,B002,Ahsan,March,Present,0.92,15.49,0,92,50,20,89.47,Low,High,3.87,Excellent,09:31.5,Data Science
S2026,Amna Khan,B002,Ahsan,March,Late,0.74,5.2,1,74,35,11,55.45,Medium,Medium,2.38,Average,20:23.4,Data Science
S2027,Rabia Tariq,B002,Ahsan,March,Present,0.95,14.8,0,95,49,17,84.87,Low,High,3.7,Excellent,00:27.4,Data Science
S2028,Hira Khan,B002,Ahsan,March,Present,0.5,2.99,2,50,32,9,32.55,High,Low,0.62,Below Average,02:18.5,Data Science
S2029,Furqan Iqbal,B002,Ahsan,March,Present,0.96,16.59,0,96,48,17,80.76,Low,High,3.69,Excellent,09:43.5,Data Science
S2030,Usama Khalid,B002,Ahsan,March,Present,0.77,9.31,0,77,42,15,77.47,Low,High,3.2,Above Average,13:05.3,Data Science
S3001,Noman Yousaf,B003,Saad,January,Present,0.96,16.47,0,96,45,19,87.21,Low,High,3.53,Excellent,22:32.9,ML/DL
S3002,Adeel Farooq,B003,Saad,January,Late,0.6,5.76,2,60,44,12,42.83,Medium,Medium,2.25,Average,10:14.2,ML/DL
S3003,Hira Rasheed,B003,Saad,January,Present,0.88,7.01,0,88,48,14,73.95,Low,High,2.87,Above Average,23:51.3,ML/DL
S3004,Farhan Sheikh,B003,Saad,January,Present,0.73,6.54,2,73,35,13,51.36,Medium,Medium,2.7,Average,01:00.4,ML/DL
S3005,Nadia Shah,B003,Saad,January,Present,0.86,6.59,1,86,41,13,71.68,Low,High,3.12,Above Average,03:22.3,ML/DL
S3006,Salman Ahmed,B003,Saad,January,Present,0.76,9.28,0,76,42,14,69.27,Low,High,3.47,Above Average,15:08.4,ML/DL
S3007,Sara Malik,B003,Saad,January,Present,0.87,6.67,1,87,49,12,73.43,Low,High,3.43,Above Average,18:46.6,ML/DL
S3008,Imran Akhtar,B003,Saad,January,Absent,0.98,14.47,0,98,50,20,82.37,Low,High,3.88,Excellent,16:55.5,ML/DL
S3009,Beenish Arif,B003,Saad,January,Present,0.45,3.68,2,45,32,10,34.58,High,Low,0.64,Below Average,22:09.3,ML/DL
S3010,Anum Shahid,B003,Saad,January,Present,0.49,2.32,4,49,34,8,33.23,High,Low,1.04,Below Average,17:45.2,ML/DL
