date,student_id,Name,preferred_course,course_demand,predicted_performance,timestamp,course_id,attendance_status,gpa,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk,record_id
10/25/2024,S1229,Areeba,Data Science,Medium,Average,10:00.2,C103,Present,2.75,0.66,4.76,1,66,43,12,50.4,Medium,42
10/7/2024,S1849,Zara,Data Science,Low,Average,19:19.2,C102,Late,3.71,0.9,14.65,0,90,49,20,83.54,Medium,43
10/2/2024,S2828,Bilal,Web Development,Medium,Below Average,16:04.2,C102,Present,3.57,0.91,18.21,0,91,47,20,89.61,High,44
10/18/2024,S1146,Usman,Web Development,Medium,Above Average,00:57.4,C104,Present,0.84,0.55,2.59,3,55,34,10,35.44,Low,45
10/22/2024,S3611,Hassan,Cybersecurity,Low,Excellent,14:37.2,C102,Present,2.8,0.8,9.78,1,80,43,15,62.73,High,46
10/21/2024,S3956,Imran,Data Science,High,Above Average,11:22.3,C105,Present,2.95,0.86,8.62,0,86,48,13,70.55,Low,47
10/15/2024,S3266,Hamza,AI,Low,Average,13:05.3,C105,Present,3.2,0.77,9.31,0,77,42,15,77.47,High,48
10/18/2024,S3241,Aleena,Web Development,High,Above Average,04:38.1,C103,Late,2.91,0.77,6.38,1,77,47,14,61.03,Low,49
10/3/2024,S2725,Mariam,Business Analytics,High,Excellent,23:46.6,C102,Present,3.71,0.94,15.34,0,94,49,15,99.58,Low,50
10/4/2024,S3242,Hamza,Web Development,High,Above Average,02:04.3,C101,Present,3.45,0.76,8.52,1,76,45,12,74.88,Low,51
10/16/2024,S1807,Areeba,Data Science,High,Excellent,11:19.5,C103,Present,3.51,0.96,10.11,0,96,45,17,88.76,Low,52
10/26/2024,S3976,Danish,Data Science,Medium,Excellent,20:45.4,C105,Present,3.49,0.75,7.91,1,75,40,15,66.26,High,53
10/4/2024,S3413,Hira,Web Development,High,Above Average,18:37.2,C103,Present,3.32,0.88,6.47,1,88,43,15,63.51,Low,54
10/24/2024,S1922,Ayaan,Web Development,High,Excellent,04:30.5,C105,Present,3.81,0.99,13.37,0,99,48,15,92.7,Low,55
10/15/2024,S2489,Hamza,Data Science,High,Excellent,02:45.5,C102,Absent,3.73,0.93,13.05,0,93,46,17,93.91,Low,56
10/12/2024,S2650,Mariam,Business Analytics,High,Excellent,16:34.3,C103,Present,3.88,0.91,14.94,0,91,49,18,95.58,Low,57
10/6/2024,S1838,Hassan,Business Analytics,High,Excellent,16:13.4,C103,Present,3.92,0.99,15.56,0,99,49,17,85.6,Low,58
10/11/2024,S1520,Saad,Cybersecurity,Medium,Average,19:35.4,C101,Present,2.66,0.73,5.43,1,73,44,13,50.95,Medium,59
10/15/2024,S2889,Aleena,Business Analytics,High,Excellent,11:04.2,C104,Absent,3.84,0.96,17.84,0,96,48,20,98.06,Low,60
10/7/2024,S3989,Taha,Cybersecurity,High,Above Average,02:41.5,C104,Present,3.14,0.85,8.36,0,85,50,12,63.69,Low,61
10/5/2024,S1868,Mehwish,Web Development,High,Excellent,05:45.4,C104,Present,3.68,0.97,17.95,0,97,47,19,86.05,Low,62
10/13/2024,S823,Bilal,Web Development,Low,Below Average,12:01.3,C103,Late,1.72,0.56,2.46,4,56,33,8,28.29,High,63
10/25/2024,S3326,Hamza,AI,Medium,Average,10:54.2,C102,Present,2.87,0.85,7.92,0,85,42,16,78.33,Medium,64
10/13/2024,S1890,Danish,Cybersecurity,High,Excellent,05:23.4,C101,Absent,3.53,0.92,13.31,0,92,48,20,95.78,Low,65
10/1/2024,S253,Bilal,AI,Low,Below Average,01:06.2,C102,Present,0.64,0.47,1.26,4,47,31,9,20.76,High,66
10/13/2024,S3061,Iqra,Web Development,High,Excellent,22:33.9,C101,Late,3.53,0.92,10.09,0,92,45,15,84.53,Low,67
10/17/2024,S1841,Noor,Business Analytics,High,Excellent,12:36.5,C102,Present,3.61,0.96,19.12,0,96,50,17,93.63,Low,68
10/19/2024,S3489,Taha,Data Science,High,Above Average,01:50.2,C105,Present,2.92,0.76,7.05,1,76,47,13,74.28,Low,69
10/12/2024,S3859,Hassan,Cybersecurity,High,Above Average,12:50.1,C103,Present,3.0,0.83,7.66,0,83,43,16,63.77,Low,70
10/5/2024,S3396,Imran,Web Development,High,Above Average,00:21.6,C102,Present,3.11,0.76,8.24,1,76,42,13,63.12,Low,71
10/3/2024,S1543,Imran,Web Development,Medium,Average,15:55.9,C104,Present,2.58,0.67,5.04,2,67,40,10,49.07,Medium,72
10/13/2024,S1517,Ahmed,Cybersecurity,Medium,Average,22:54.5,C101,Present,2.68,0.68,6.87,1,68,36,12,45.02,Medium,73
10/18/2024,S197,Bilal,AI,Low,Below Average,22:09.3,C103,Late,1.88,0.48,2.26,3,48,32,6,33.99,High,74
10/7/2024,S3080,Danish,Data Science,High,Excellent,02:29.1,C102,Present,3.75,0.99,16.13,0,99,46,20,93.49,Low,75
10/21/2024,S358,Fatima,AI,Low,Below Average,21:54.3,C104,Late,0.97,0.48,2.47,3,48,39,5,35.87,High,76
10/1/2024,S3835,Ayaan,Cybersecurity,High,Above Average,22:20.4,C102,Present,2.96,0.84,8.97,1,84,43,12,75.54,Low,77
10/14/2024,S2921,Hassan,Cybersecurity,High,Excellent,07:00.2,C102,Late,3.97,0.96,14.75,0,96,50,17,83.22,Low,78
10/19/2024,S2837,Laiba,AI,High,Excellent,16:36.5,C101,Present,3.93,0.97,14.03,0,97,46,15,98.82,Low,79
10/2/2024,S912,Usman,Cybersecurity,Low,Below Average,07:13.4,C104,Late,0.91,0.42,1.74,4,42,38,8,35.73,High,80
10/21/2024,S004,Danish,Web Development,Low,Below Average,18:11.4,C102,Present,1.11,0.58,1.18,3,58,30,6,23.46,High,81
10/13/2024,S2717,Ayaan,Web Development,High,Excellent,14:50.2,C104,Present,3.61,0.97,19.31,0,97,47,18,83.09,Low,82
10/1/2024,S1049,Hassan,AI,Low,Below Average,05:20.5,C103,Present,1.27,0.52,1.15,3,52,35,10,26.49,High,83
10/11/2024,S1124,Mariam,Data Science,Low,Below Average,05:09.5,C103,Present,1.45,0.42,1.07,3,42,40,5,30.63,High,84
10/10/2024,S3309,Hira,Cybersecurity,High,Above Average,12:46.2,C101,Present,3.5,0.88,6.59,0,88,41,15,69.67,Low,85
10/26/2024,S1643,Fatima,Business Analytics,Medium,Average,10:01.3,C103,Late,2.2,0.63,5.69,2,63,40,12,52.0,Medium,86
10/17/2024,S1140,Saad,Data Science,Low,Below Average,15:05.2,C105,Present,0.85,0.55,1.33,2,55,30,9,27.56,High,87
10/3/2024,S867,Iqra,Business Analytics,Low,Below Average,21:24.3,C102,Present,0.65,0.43,1.24,2,43,38,6,22.35,High,88
10/13/2024,S580,Noor,Cybersecurity,High,Above Average,02:05.1,C103,Present,1.56,0.43,3.81,4,43,37,10,32.17,Medium,89
10/2/2024,S1003,Mehwish,AI,Low,Below Average,10:04.2,C103,Late,0.97,0.51,3.59,2,51,32,6,30.66,High,90
10/25/2024,S519,Imran,Data Science,Low,Below Average,10:11.6,C105,Present,0.97,0.43,3.68,4,43,39,6,24.55,High,91
10/26/2024,S2274,Iqra,Data Science,Medium,Average,22:55.4,C101,Late,3.85,0.93,19.36,0,93,49,15,83.44,High,92
10/13/2024,S3268,Mariam,Business Analytics,High,Above Average,05:10.2,C102,Present,3.45,0.9,7.27,1,90,49,16,60.17,Low,93
10/6/2024,S3275,Saad,Cybersecurity,High,Above Average,01:50.4,C101,Present,3.06,0.78,7.1,1,78,42,13,62.83,Low,94
10/23/2024,S133,Saad,Cybersecurity,Low,Below Average,01:00.5,C104,Present,0.89,0.54,1.65,2,54,36,7,35.61,High,95
10/13/2024,S2016,Danish,Cybersecurity,High,Excellent,05:23.4,C101,Absent,3.9,0.94,13.02,0,94,46,16,80.12,Low,96
10/11/2024,S368,Mariam,Data Science,High,Average,05:09.5,C103,Present,0.68,0.44,1.94,4,44,39,10,38.53,Low,97
10/9/2024,S1439,Bilal,Cybersecurity,Medium,Average,12:36.4,C103,Present,2.4,0.61,4.39,2,61,40,14,50.92,Medium,98
10/1/2024,S1865,Laiba,AI,Medium,Above Average,22:40.3,C104,Absent,3.58,0.94,12.47,0,94,49,17,97.96,High,99
10/21/2024,S3919,Noor,AI,Low,Below Average,23:47.2,C102,Present,3.42,0.89,6.76,1,89,46,14,77.65,High,100
10/12/2024,S1406,Hassan,Business Analytics,Medium,Average,18:12.3,C101,Present,2.37,0.72,6.36,2,72,44,14,49.64,Medium,101
10/17/2024,S2041,Ahmed,AI,High,Excellent,15:17.3,C105,Present,3.94,0.99,14.96,0,99,50,18,80.78,Low,102
10/6/2024,S2163,Danish,AI,Medium,Above Average,18:57.0,C101,Absent,3.7,0.94,17.73,0,94,50,16,80.63,Medium,103
10/11/2024,S1211,Aleena,Cybersecurity,Low,Above Average,05:23.2,C102,Present,2.28,0.75,5.76,2,75,41,10,54.5,High,104
10/20/2024,S006,Hamza,Data Science,Low,Below Average,09:54.5,C105,Late,1.55,0.47,1.93,4,47,32,6,26.07,High,105
10/3/2024,S1427,Bilal,Business Analytics,Medium,Average,00:58.3,C104,Absent,2.14,0.64,4.19,2,64,45,11,45.56,Medium,106
10/7/2024,S2465,Hassan,Data Science,High,Excellent,06:56.2,C101,Present,3.65,0.93,17.67,0,93,48,16,97.91,Low,107
10/6/2024,S3323,Mariam,AI,High,Above Average,15:22.2,C104,Present,3.12,0.86,6.59,1,86,41,13,71.68,Low,108
10/12/2024,S3031,Danish,Business Analytics,High,Excellent,08:32.4,C101,Late,3.6,0.95,11.71,0,95,47,15,87.78,Low,109
10/15/2024,S2540,Zara,Cybersecurity,Medium,Average,22:57.5,C105,Present,3.56,0.92,16.43,0,92,47,20,95.43,Medium,110
10/1/2024,S3353,Danish,Business Analytics,High,Above Average,17:08.4,C102,Present,3.08,0.8,9.91,1,80,43,14,64.17,Low,111
10/6/2024,S1059,Taha,Business Analytics,Low,Below Average,11:28.3,C102,Late,1.88,0.42,3.25,3,42,34,7,39.17,High,112
10/18/2024,S1258,Usman,Cybersecurity,Medium,Average,13:02.3,C102,Present,2.06,0.62,5.72,2,62,45,14,52.43,Medium,113
10/22/2024,S1903,Usman,Business Analytics,High,Excellent,10:53.5,C103,Absent,3.81,0.93,18.82,0,93,45,18,96.39,Low,114
10/17/2024,S2953,Iqra,Cybersecurity,High,Excellent,08:05.4,C103,Present,3.52,0.97,18.4,0,97,49,17,99.76,Low,115
10/5/2024,S1061,Aleena,Web Development,Low,Below Average,16:49.4,C101,Present,1.11,0.58,1.18,2,58,40,10,36.6,High,116
10/9/2024,S2355,Iqra,Business Analytics,Medium,Above Average,05:45.8,C105,Absent,3.96,0.95,11.8,0,95,45,15,83.06,Medium,117
10/10/2024,S766,Areeba,Cybersecurity,Low,Below Average,14:10.5,C104,Late,1.7,0.46,2.13,2,46,35,9,20.38,High,118
10/1/2024,S555,Mariam,Web Development,Low,Below Average,14:04.3,C103,Present,1.21,0.48,3.55,4,48,33,10,27.64,High,119
10/9/2024,S2897,Usman,Cybersecurity,High,Excellent,00:27.4,C103,Present,3.71,0.99,13.17,0,99,48,16,94.54,Low,120
10/4/2024,S2866,Areeba,Business Analytics,Low,Above Average,17:27.5,C102,Present,3.82,0.95,18.35,0,95,47,17,86.94,High,121
10/10/2024,S3656,Laiba,Data Science,High,Above Average,22:14.2,C104,Absent,3.14,0.79,7.74,0,79,43,15,73.43,Low,122
10/20/2024,S784,Laiba,Web Development,Low,Below Average,04:54.1,C102,Absent,1.46,0.52,1.33,4,52,35,5,24.16,High,123
10/5/2024,S229,Saad,Business Analytics,Low,Below Average,14:33.4,C102,Present,1.16,0.5,2.46,3,50,40,7,24.14,High,124
10/16/2024,S981,Aleena,Web Development,Low,Below Average,19:46.5,C105,Late,1.01,0.46,2.79,2,46,31,8,28.3,High,125
10/14/2024,S452,Bilal,Data Science,Low,Below Average,07:45.5,C101,Present,1.24,0.47,1.16,4,47,37,7,26.54,High,126
10/21/2024,S2131,Usman,Cybersecurity,High,Excellent,14:11.2,C105,Late,3.77,0.9,16.08,0,90,47,19,81.92,Low,127
10/17/2024,S2569,Saad,Data Science,High,Excellent,03:46.3,C102,Absent,3.89,0.91,11.28,0,91,48,17,83.31,Low,128
10/23/2024,S2177,Usman,Cybersecurity,High,Excellent,10:35.2,C104,Late,3.98,0.93,14.27,0,93,49,18,83.17,Low,129
10/14/2024,S2651,Hira,Web Development,High,Excellent,00:43.7,C103,Present,3.78,0.99,15.18,0,99,46,17,94.63,Low,130
10/4/2024,S2582,Areeba,Business Analytics,High,Excellent,17:27.5,C102,Present,3.5,0.94,11.73,0,94,45,16,88.02,Low,131
10/13/2024,S2062,Danish,Cybersecurity,High,Excellent,05:23.4,C101,Absent,3.72,0.92,10.57,0,92,49,17,92.17,Low,132
10/6/2024,S1881,Taha,Web Development,High,Excellent,05:37.3,C103,Present,3.95,0.99,11.43,0,99,47,20,85.09,Low,133
10/9/2024,S2955,Mehwish,AI,High,Excellent,21:52.2,C103,Late,3.91,0.92,12.94,0,92,48,15,82.52,Low,134
10/16/2024,S1648,Mehwish,AI,Medium,Average,17:20.0,C102,Late,2.26,0.71,5.39,1,71,36,13,51.0,Medium,135
10/6/2024,S615,Laiba,Web Development,Low,Below Average,03:29.4,C101,Present,1.22,0.49,1.66,3,49,39,6,32.84,High,136
10/22/2024,S1985,Bilal,Business Analytics,High,Excellent,21:54.4,C103,Present,3.81,0.99,17.16,0,99,48,19,89.37,Low,137
10/5/2024,S2101,Mehwish,Web Development,High,Excellent,05:45.4,C104,Present,3.71,1.0,11.95,0,100,46,18,82.14,Low,138
10/20/2024,S081,Zara,Cybersecurity,Low,Below Average,03:06.4,C102,Present,1.67,0.54,2.06,2,54,40,5,28.38,High,139
10/25/2024,S2043,Iqra,Business Analytics,High,Excellent,14:25.4,C101,Late,3.98,0.93,13.2,0,93,47,18,89.3,Low,140
10/16/2024,S825,Fatima,Web Development,Low,Below Average,12:45.5,C104,Present,1.77,0.58,2.12,2,58,37,9,34.06,High,141
10/6/2024,S422,Hamza,Cybersecurity,Medium,Average,07:40.6,C104,Present,1.78,0.57,1.7,3,57,31,10,25.13,Medium,142
10/2/2024,S638,Mehwish,AI,Low,Below Average,10:04.2,C103,Late,1.11,0.56,1.13,4,56,32,10,20.45,High,143
10/12/2024,S2841,Mehwish,Cybersecurity,High,Excellent,16:03.5,C104,Present,3.56,0.99,18.23,0,99,50,15,98.45,Low,144
10/11/2024,S1946,Hamza,Data Science,High,Excellent,09:52.4,C104,Present,3.86,0.93,15.45,0,93,45,16,97.23,Low,145
10/18/2024,S1030,Bilal,AI,Low,Below Average,22:09.3,C103,Late,1.18,0.56,1.12,4,56,38,8,25.16,High,146
10/4/2024,S3687,Areeba,AI,Low,Average,23:45.4,C102,Present,2.84,0.8,6.35,0,80,50,13,78.94,High,147
10/9/2024,S044,Mehwish,AI,Low,Below Average,07:19.2,C102,Present,1.42,0.45,3.96,2,45,35,9,37.24,High,148
10/17/2024,S2230,Hira,AI,Low,Average,08:48.3,C101,Present,3.96,0.97,16.71,0,97,48,19,82.62,High,149
10/2/2024,S1116,Fatima,AI,Low,Below Average,12:23.6,C102,Present,0.54,0.5,1.58,2,50,33,5,35.64,High,150
10/4/2024,S1171,Aleena,Business Analytics,Low,Below Average,02:53.4,C103,Present,1.02,0.54,3.64,4,54,39,7,33.15,High,151
10/9/2024,S2532,Imran,Data Science,High,Excellent,08:44.4,C101,Late,3.86,0.91,18.67,0,91,48,16,97.64,Low,152
10/2/2024,S487,Fatima,AI,Low,Below Average,12:23.6,C102,Present,1.52,0.57,3.84,3,57,34,5,36.42,High,153
10/23/2024,S1914,Hamza,Business Analytics,Low,Average,08:39.2,C101,Absent,3.85,0.95,15.24,0,95,47,15,98.05,High,154
10/7/2024,S674,Hira,AI,Medium,Excellent,03:29.4,C105,Late,1.21,0.56,3.19,4,56,37,10,24.44,Low,155
10/9/2024,S3423,Usman,Business Analytics,High,Above Average,19:20.2,C101,Present,2.99,0.76,6.78,0,76,44,15,74.38,Low,156
10/3/2024,S1048,Hira,AI,Low,Below Average,02:12.5,C105,Present,1.47,0.43,3.12,4,43,34,7,32.97,High,157
10/19/2024,S3994,Areeba,Business Analytics,Low,Excellent,17:20.4,C101,Present,3.31,0.85,8.65,1,85,40,12,66.68,Medium,158
10/16/2024,S3831,Areeba,Web Development,Low,Below Average,16:03.4,C105,Present,3.21,0.86,8.71,0,86,50,12,73.6,Medium,159
10/14/2024,S697,Ayaan,Web Development,Low,Below Average,13:45.2,C102,Present,1.46,0.5,2.23,3,50,30,7,32.07,High,160
10/14/2024,S3414,Fatima,AI,Low,Below Average,18:56.5,C103,Absent,3.13,0.88,7.33,0,88,46,14,61.59,High,161
10/24/2024,S3646,Ayaan,Business Analytics,High,Above Average,10:40.5,C103,Present,3.28,0.82,6.64,0,82,42,12,62.01,Low,162
10/23/2024,S772,Usman,Cybersecurity,Low,Below Average,19:27.3,C105,Present,1.71,0.56,3.48,3,56,39,8,26.73,High,163
10/17/2024,S003,Zara,Cybersecurity,Low,Below Average,18:29.5,C104,Present,1.87,0.51,1.71,4,51,36,7,21.39,High,164
10/15/2024,S472,Hamza,Web Development,Low,Below Average,21:21.2,C101,Late,0.87,0.41,3.88,4,41,30,6,26.24,High,165
10/10/2024,S1635,Imran,AI,High,Above Average,04:49.5,C102,Late,2.16,0.7,5.43,2,70,45,11,53.79,Low,166
10/6/2024,S1847,Taha,Business Analytics,High,Excellent,05:53.2,C101,Present,3.93,1.0,10.2,0,100,48,18,82.86,Low,167
10/24/2024,S3638,Hira,Business Analytics,High,Above Average,05:42.1,C105,Present,2.97,0.89,8.54,1,89,40,12,62.09,Low,168
10/9/2024,S1053,Hamza,Business Analytics,Low,Below Average,19:33.6,C105,Present,1.5,0.42,1.73,4,42,33,9,34.12,High,169
10/21/2024,S3762,Bilal,AI,High,Above Average,13:54.5,C104,Present,3.32,0.83,7.63,1,83,46,16,76.29,Low,170
10/12/2024,S522,Ahmed,Business Analytics,Low,Below Average,08:23.4,C105,Present,1.15,0.47,2.25,3,47,31,5,25.6,High,171
10/10/2024,S2919,Taha,Data Science,High,Excellent,07:46.5,C103,Present,3.55,0.9,13.12,0,90,45,16,98.68,Low,172
10/25/2024,S181,Mehwish,AI,Low,Below Average,19:53.5,C104,Present,1.15,0.43,2.24,3,43,35,9,26.39,High,173
10/1/2024,S3402,Danish,Business Analytics,Low,Below Average,01:28.6,C105,Present,3.35,0.86,7.02,1,86,50,15,60.43,Medium,174
10/24/2024,S3258,Noor,AI,Low,Below Average,10:14.2,C104,Absent,3.19,0.88,8.99,0,88,44,15,78.22,Medium,175
10/8/2024,S1726,Hamza,Data Science,Medium,Average,23:14.2,C101,Present,2.56,0.65,4.05,2,65,41,12,40.96,Medium,176
10/23/2024,S3379,Zara,Cybersecurity,High,Above Average,04:24.5,C101,Present,2.85,0.8,6.9,0,80,48,16,74.72,Low,177
10/23/2024,S753,Imran,Web Development,Low,Below Average,05:58.6,C102,Present,1.48,0.59,3.1,4,59,37,5,39.14,High,178
10/25/2024,S1509,Noor,Cybersecurity,Low,Excellent,17:51.3,C101,Present,2.51,0.67,6.57,1,67,42,11,50.04,High,179
10/22/2024,S3097,Danish,Data Science,High,Excellent,11:37.3,C104,Absent,3.64,0.98,10.76,0,98,50,18,85.0,Low,180
10/14/2024,S2422,Aleena,Web Development,High,Excellent,15:07.2,C101,Present,3.98,0.95,19.43,0,95,46,18,92.13,Low,181
10/17/2024,S1460,Noor,AI,Medium,Average,08:39.4,C101,Present,2.14,0.64,6.52,2,64,36,13,46.26,Medium,182
10/5/2024,S3349,Hassan,Business Analytics,High,Above Average,22:48.4,C105,Late,2.88,0.81,6.34,1,81,45,12,61.25,Low,183
10/15/2024,S2139,Zara,Cybersecurity,High,Excellent,22:57.5,C105,Present,3.69,0.95,15.79,0,95,48,17,98.22,Low,184
10/23/2024,S617,Imran,Cybersecurity,Low,Below Average,15:44.5,C103,Present,1.92,0.5,2.11,2,50,33,10,20.48,High,185
10/10/2024,S1687,Noor,AI,Medium,Average,00:57.5,C102,Present,2.26,0.61,5.74,1,61,38,10,53.99,Medium,186
10/9/2024,S2142,Usman,Cybersecurity,Low,Above Average,00:27.4,C103,Present,3.96,0.93,12.12,0,93,49,16,95.1,High,187
10/23/2024,S2942,Fatima,Business Analytics,Medium,Below Average,21:37.3,C104,Present,3.67,0.95,18.15,0,95,48,15,90.88,Medium,188
10/17/2024,S3803,Mariam,Data Science,High,Above Average,01:15.3,C101,Late,2.94,0.88,7.59,0,88,50,16,78.24,Low,189
10/24/2024,S2020,Bilal,AI,High,Excellent,21:26.5,C103,Late,3.89,0.93,18.36,0,93,45,15,84.46,Low,190
10/17/2024,S635,Ayaan,Web Development,Low,Below Average,23:50.4,C104,Late,1.23,0.42,2.64,2,42,34,7,23.93,High,191
10/11/2024,S829,Zara,Web Development,Low,Below Average,22:11.2,C105,Late,0.86,0.5,2.95,2,50,34,9,21.09,High,192
10/10/2024,S996,Ahmed,Cybersecurity,Low,Below Average,11:00.1,C104,Absent,1.17,0.43,2.65,2,43,40,10,25.08,High,193
10/24/2024,S590,Mehwish,Business Analytics,Medium,Average,07:52.4,C102,Present,1.71,0.58,1.54,2,58,36,9,25.78,Medium,194
10/8/2024,S499,Noor,Data Science,Low,Below Average,00:11.5,C104,Present,1.01,0.47,1.86,2,47,32,7,33.7,High,195
10/5/2024,S2660,Mehwish,Business Analytics,High,Excellent,11:39.5,C103,Late,3.51,0.92,11.0,0,92,49,15,97.37,Low,196
10/24/2024,S855,Ahmed,Cybersecurity,Low,Below Average,17:47.6,C104,Present,1.89,0.52,3.75,4,52,38,7,35.73,High,197
10/1/2024,S3544,Ahmed,Data Science,High,Above Average,04:56.5,C105,Late,3.37,0.76,7.95,1,76,45,15,72.87,Low,198
