date,student_id,Name,preferred_course,course_demand,predicted_performance,timestamp,course_id,attendance_status,gpa,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk
10/5/2024,S2330,Saad,Cybersecurity,High,Excellent,10:25.4,C103,Late,3.99,0.95,13.39,0,95,45,20,91.09,Low
10/7/2024,S2648,Usman,AI,High,Average,11:26.4,C101,Late,3.52,0.96,16.78,0,96,47,19,85.01,Low
10/20/2024,S1425,Fatima,Data Science,Medium,Average,12:38.6,C103,Present,2.14,0.72,6.28,1,72,39,10,44.24,Medium
10/5/2024,S2360,Fatima,Cybersecurity,Low,Average,11:35.5,C105,Present,4.0,0.95,16.66,0,95,48,15,85.31,Low
10/16/2024,S3322,Laiba,Data Science,High,Above Average,03:47.7,C101,Late,2.84,0.76,8.11,1,76,45,16,61.13,Low
10/6/2024,S788,Areeba,Web Development,Low,Below Average,21:12.2,C105,Present,0.62,0.54,3.06,2,54,35,9,33.96,High
10/18/2024,S1993,Hassan,Cybersecurity,High,Excellent,22:00.4,C103,Present,3.76,0.94,10.11,0,94,46,15,83.42,Low
10/17/2024,S1117,Imran,AI,Low,Below Average,18:58.5,C104,Present,0.92,0.52,3.68,3,52,30,10,29.86,High
10/1/2024,S1321,Danish,Data Science,Medium,Average,19:57.3,C102,Present,2.14,0.61,6.33,2,61,36,12,46.56,Medium
10/7/2024,S3657,Iqra,Web Development,High,Above Average,09:11.5,C102,Present,3.01,0.83,9.53,0,83,46,13,64.63,Low
10/25/2024,S1553,Noor,Cybersecurity,Medium,Average,17:51.3,C101,Present,2.07,0.68,4.17,1,68,42,13,44.0,Low
10/1/2024,S033,Hassan,AI,Low,Below Average,05:20.5,C103,Present,0.69,0.41,1.22,3,41,32,10,24.45,Low
10/24/2024,S464,Iqra,Business Analytics,Low,Below Average,00:41.1,C104,Late,1.82,0.54,1.42,2,54,31,8,33.74,Low
10/8/2024,S2516,Mehwish,Data Science,High,Excellent,12:25.5,C105,Absent,3.68,0.95,10.34,0,95,46,16,99.75,Low
10/15/2024,S2296,Danish,Cybersecurity,High,Excellent,08:15.4,C103,Absent,3.99,0.93,19.44,0,93,47,19,90.82,Medium
10/1/2024,S167,Hassan,AI,Low,Below Average,05:20.5,C103,Present,1.9,0.42,1.75,4,42,36,8,37.34,High
10/11/2024,S2863,Noor,Web Development,High,Excellent,18:45.6,C105,Present,3.85,0.99,12.26,0,99,50,20,80.11,Low
10/15/2024,S415,Mariam,Business Analytics,Low,Below Average,02:36.4,C103,Present,1.18,0.44,3.62,3,44,36,6,24.7,High
10/19/2024,S034,Mariam,Web Development,Low,Below Average,13:59.2,C104,Late,1.62,0.5,3.37,2,50,37,5,27.55,High
10/11/2024,S185,Aleena,AI,Low,Below Average,01:54.1,C105,Absent,1.95,0.48,1.03,4,48,38,9,25.25,High
10/13/2024,S3023,Areeba,Data Science,High,Excellent,16:27.1,C101,Present,3.6,0.93,16.23,0,93,50,17,90.87,Low
10/18/2024,S3241,Aleena,Web Development,High,Above Average,04:38.1,C103,Late,2.91,0.77,6.38,1,77,47,14,61.03,Low
10/21/2024,S3302,Noor,AI,Low,Average,23:47.2,C102,Present,3.29,0.77,6.22,0,77,47,15,65.67,Low
10/16/2024,S1953,Hamza,AI,High,Below Average,00:57.3,C104,Late,3.97,0.94,19.42,0,94,47,17,87.66,Low
10/20/2024,S3750,Mehwish,Cybersecurity,High,Average,08:08.0,C102,Present,3.48,0.79,7.6,0,79,40,13,69.37,Low
10/12/2024,S1622,Taha,AI,Medium,Average,17:17.5,C104,Present,2.13,0.73,5.47,1,73,44,11,54.49,Medium
10/21/2024,S1243,Imran,AI,Medium,Average,22:43.5,C104,Present,2.12,0.72,4.73,2,72,39,13,47.31,Medium
10/20/2024,S3550,Areeba,Web Development,High,Above Average,18:13.9,C105,Present,3.4,0.78,8.13,1,78,40,13,72.85,Low
10/13/2024,S722,Hamza,AI,Low,Below Average,23:38.6,C103,Present,0.74,0.51,1.54,2,51,37,7,22.34,High
10/13/2024,S1175,Noor,Cybersecurity,Low,Below Average,02:05.1,C103,Present,0.53,0.42,1.45,3,42,33,10,26.58,High
10/16/2024,S671,Aleena,AI,Low,Below Average,18:03.4,C103,Late,1.57,0.54,3.48,3,54,38,6,31.53,High
10/6/2024,S3332,Laiba,Data Science,High,Above Average,08:52.2,C104,Present,3.2,0.89,8.35,0,89,43,12,78.06,Low
10/15/2024,S1747,Mariam,Cybersecurity,Medium,Average,13:51.5,C105,Present,2.45,0.63,6.38,1,63,39,11,52.66,Low
10/16/2024,S2425,Mariam,Data Science,High,Below Average,09:31.3,C101,Late,3.9,0.98,13.63,0,98,46,15,96.58,Low
10/11/2024,S1557,Taha,AI,Medium,Average,13:59.3,C105,Present,2.76,0.64,5.09,1,64,40,13,58.02,Low
10/24/2024,S2867,Saad,Cybersecurity,High,Excellent,09:35.0,C101,Present,3.86,0.99,11.34,0,99,49,19,97.92,Low
10/12/2024,S3537,Iqra,Web Development,High,Above Average,17:29.2,C104,Absent,3.37,0.89,6.5,1,89,43,13,74.94,Low
10/19/2024,S2585,Areeba,Cybersecurity,Low,Below Average,10:59.3,C104,Present,3.85,0.9,16.16,0,90,45,16,92.93,Low
10/24/2024,S1745,Fatima,Data Science,Medium,Average,16:30.4,C103,Present,2.09,0.61,5.51,2,61,39,10,51.67,Medium
10/19/2024,S3868,Areeba,Business Analytics,High,Above Average,17:20.4,C101,Present,3.21,0.82,7.2,1,82,46,15,78.0,Low
10/5/2024,S719,Aleena,Web Development,Low,Below Average,16:49.4,C101,Present,1.1,0.42,2.55,3,42,34,6,25.61,Low
10/8/2024,S1371,Hira,Web Development,Medium,Average,00:30.3,C105,Late,2.05,0.71,6.15,2,71,43,10,56.55,Medium
10/1/2024,S2980,Hassan,Business Analytics,High,Excellent,00:19.3,C104,Present,3.54,0.92,17.37,0,92,46,18,81.11,Medium
10/18/2024,S3931,Zara,AI,High,Below Average,02:20.6,C104,Absent,3.36,0.84,6.03,0,84,45,15,68.14,Low
10/10/2024,S2021,Areeba,Cybersecurity,High,Excellent,19:50.4,C104,Present,3.57,0.97,18.48,0,97,49,20,97.74,Medium
10/21/2024,S2611,Mariam,Data Science,Low,Average,08:34.3,C103,Present,3.92,0.98,11.59,0,98,47,18,86.75,Medium
10/1/2024,S1627,Noor,Business Analytics,Medium,Average,06:50.8,C103,Present,2.15,0.72,6.96,1,72,40,10,52.36,Medium
10/18/2024,S2426,Bilal,Data Science,Low,Below Average,06:07.4,C105,Late,3.83,0.99,19.07,0,99,47,20,90.91,Low
10/15/2024,S3054,Zara,Cybersecurity,Low,Average,22:57.5,C105,Present,3.92,0.93,12.8,0,93,45,20,82.32,Low
10/23/2024,S3008,Areeba,Web Development,High,Excellent,16:54.1,C105,Late,3.93,0.92,17.3,0,92,48,18,98.91,Medium
10/23/2024,S600,Usman,Cybersecurity,Low,Below Average,19:27.3,C105,Present,0.82,0.6,3.28,2,60,35,9,21.31,High
10/8/2024,S1748,Mariam,Cybersecurity,Medium,Average,06:52.4,C101,Present,2.2,0.62,5.03,1,62,43,12,59.46,Medium
10/2/2024,S2352,Mehwish,Web Development,Low,Average,00:47.4,C104,Present,3.61,0.96,17.54,0,96,45,20,98.25,Low
10/15/2024,S1430,Noor,Cybersecurity,Medium,Average,09:42.6,C101,Present,2.78,0.72,6.63,1,72,36,12,43.76,Low
10/21/2024,S1115,Danish,Web Development,Low,Below Average,18:11.4,C102,Present,1.34,0.59,3.76,4,59,34,9,33.1,High
10/23/2024,S643,Ahmed,Business Analytics,Low,Below Average,01:55.4,C103,Present,1.31,0.46,2.33,2,46,35,7,28.88,Medium
10/19/2024,S403,Mariam,Web Development,Low,Below Average,13:59.2,C104,Late,0.78,0.41,3.0,3,41,38,6,25.86,Medium
10/10/2024,S491,Areeba,Cybersecurity,Low,Below Average,14:10.5,C104,Late,1.46,0.42,1.7,2,42,38,8,27.29,High
10/20/2024,S2500,Laiba,Cybersecurity,Low,Average,16:54.2,C105,Absent,3.94,0.97,13.76,0,97,45,19,82.63,Low
10/8/2024,S1004,Saad,Cybersecurity,Low,Below Average,07:31.6,C103,Present,1.41,0.48,2.92,4,48,38,10,29.95,High
10/9/2024,S2115,Imran,Data Science,High,Excellent,08:44.4,C101,Late,3.73,0.9,17.58,0,90,48,20,98.66,Medium
10/11/2024,S3485,Aleena,Cybersecurity,Low,Below Average,15:30.2,C104,Present,3.32,0.76,7.0,0,76,49,13,70.16,Medium
10/2/2024,S1879,Hira,Data Science,Low,Average,06:51.4,C105,Absent,3.55,1.0,15.05,0,100,49,17,89.83,Medium
10/14/2024,S2474,Mariam,Data Science,Low,Average,12:13.9,C102,Present,3.89,0.98,10.46,0,98,46,17,84.22,Medium
10/11/2024,S271,Danish,AI,Low,Below Average,20:40.0,C105,Present,1.95,0.53,3.62,2,53,36,7,35.24,Low
10/14/2024,S2342,Mariam,AI,Low,Average,23:23.5,C105,Present,3.93,1.0,16.05,0,100,49,18,81.65,Low
10/4/2024,S3059,Fatima,AI,Low,Average,13:31.8,C105,Present,3.79,0.97,13.67,0,97,50,15,80.84,Medium
10/25/2024,S3199,Fatima,Business Analytics,High,Excellent,22:22.3,C101,Present,3.96,0.93,10.6,0,93,45,16,86.5,Low
10/17/2024,S1045,Iqra,AI,Low,Below Average,17:57.3,C102,Late,1.31,0.49,2.8,4,49,33,9,32.08,High
10/13/2024,S3498,Usman,Cybersecurity,High,Above Average,12:37.1,C103,Present,3.47,0.84,8.37,0,84,41,13,79.01,Low
10/16/2024,S2794,Saad,Cybersecurity,Low,Average,22:28.6,C104,Late,3.86,0.99,16.2,0,99,49,19,85.68,Low
10/15/2024,S2393,Taha,Web Development,High,Excellent,06:10.1,C103,Present,3.59,0.96,16.69,0,96,50,20,97.47,Medium
10/15/2024,S3471,Laiba,Data Science,Low,Average,18:35.3,C104,Present,3.38,0.81,6.91,1,81,50,13,64.27,Low
10/26/2024,S3838,Aleena,Business Analytics,High,Above Average,13:37.2,C103,Late,3.26,0.84,8.52,1,84,47,12,61.55,Low
10/11/2024,S2359,Ayaan,Cybersecurity,Low,Below Average,00:00.4,C102,Late,3.71,0.94,14.99,0,94,46,15,88.87,Low
10/25/2024,S2335,Areeba,Business Analytics,High,Excellent,08:10.5,C103,Present,3.59,0.96,11.38,0,96,45,17,88.62,Low
10/16/2024,S018,Aleena,Web Development,Low,Below Average,19:46.5,C105,Late,1.68,0.55,1.8,2,55,31,10,34.95,High
10/16/2024,S3655,Laiba,Data Science,High,Above Average,03:47.7,C101,Late,2.94,0.82,9.59,1,82,40,14,69.94,Low
10/11/2024,S1211,Aleena,Cybersecurity,Medium,Average,05:23.2,C102,Present,2.28,0.75,5.76,2,75,41,10,54.5,Medium
10/18/2024,S2118,Areeba,Business Analytics,High,Excellent,17:13.4,C101,Present,3.68,0.96,13.52,0,96,50,17,86.28,Low
10/15/2024,S230,Hamza,Web Development,Low,Below Average,21:21.2,C101,Late,1.04,0.4,1.64,2,40,34,8,39.08,Low
10/7/2024,S1118,Hira,AI,Low,Below Average,03:29.4,C105,Late,0.59,0.51,1.1,4,51,40,7,30.8,Low
10/9/2024,S1293,Taha,Web Development,Medium,Average,22:20.3,C103,Present,2.12,0.69,5.64,1,69,40,14,45.14,Medium
10/2/2024,S496,Usman,Cybersecurity,Low,Below Average,19:49.4,C103,Present,0.65,0.52,1.08,3,52,35,10,36.51,High
10/26/2024,S3545,Mehwish,Cybersecurity,Low,Average,21:02.3,C101,Present,3.17,0.82,9.23,1,82,45,12,74.32,Low
10/22/2024,S462,Mehwish,Data Science,Low,Below Average,03:54.4,C101,Present,1.88,0.5,3.75,4,50,30,10,28.85,Low
10/21/2024,S2904,Bilal,Cybersecurity,High,Excellent,09:31.5,C103,Present,3.87,0.92,15.49,0,92,50,20,89.47,Low
10/17/2024,S1564,Areeba,Data Science,Medium,Average,20:23.4,C105,Late,2.38,0.74,5.2,1,74,35,11,55.45,Medium
10/9/2024,S2554,Usman,Cybersecurity,High,Excellent,00:27.4,C103,Present,3.7,0.95,14.8,0,95,49,17,84.87,Low
10/22/2024,S319,Mariam,Web Development,Low,Below Average,02:18.5,C102,Present,0.62,0.5,2.99,2,50,32,9,32.55,High
10/2/2024,S2454,Hamza,Web Development,Low,Average,09:43.5,C105,Present,3.69,0.96,16.59,0,96,48,17,80.76,Low
10/15/2024,S3266,Hamza,AI,High,Below Average,13:05.3,C105,Present,3.2,0.77,9.31,0,77,42,15,77.47,Low
10/22/2024,S2453,Areeba,Cybersecurity,High,Excellent,21:33.4,C105,Present,3.53,0.96,16.47,0,96,45,19,87.21,Low
10/26/2024,S1492,Fatima,Business Analytics,Medium,Average,10:01.3,C103,Late,2.25,0.6,5.76,2,60,44,12,42.83,Medium
10/12/2024,S3573,Mariam,Business Analytics,High,Above Average,06:36.2,C105,Present,2.87,0.88,7.01,0,88,48,14,73.95,Medium
10/14/2024,S1290,Saad,AI,Medium,Average,04:15.3,C102,Present,2.7,0.73,6.54,2,73,35,13,51.36,Low
10/6/2024,S3323,Mariam,AI,High,Above Average,15:22.2,C104,Present,3.12,0.86,6.59,1,86,41,13,71.68,Low
10/26/2024,S3519,Imran,Data Science,High,Above Average,08:52.3,C101,Present,3.47,0.76,9.28,0,76,42,14,69.27,Low
10/5/2024,S3394,Ahmed,Business Analytics,High,Above Average,23:44.4,C102,Present,3.43,0.87,6.67,1,87,49,12,73.43,Low
10/9/2024,S2234,Iqra,Business Analytics,High,Excellent,05:45.8,C105,Absent,3.88,0.98,14.47,0,98,50,20,82.37,Low
10/20/2024,S658,Zara,Cybersecurity,Low,Below Average,03:06.4,C102,Present,0.64,0.45,3.68,2,45,32,10,34.58,High
10/1/2024,S1057,Taha,Cybersecurity,Low,Below Average,13:56.2,C104,Present,1.04,0.49,2.32,4,49,34,8,33.23,High
10/9/2024,S2120,Iqra,Business Analytics,Low,Below Average,05:45.8,C105,Absent,3.96,0.94,19.38,0,94,50,15,88.4,Medium
10/11/2024,S3195,Hira,Business Analytics,High,Excellent,04:46.1,C103,Present,3.77,0.98,16.15,0,98,48,16,84.23,Low
10/10/2024,S3895,Danish,Business Analytics,High,Above Average,07:13.5,C105,Present,3.06,0.77,7.39,0,77,42,12,70.54,Low
10/7/2024,S1663,Ahmed,AI,Medium,Average,15:43.1,C105,Present,2.45,0.68,6.46,1,68,36,11,42.21,Low
10/23/2024,S1331,Laiba,Cybersecurity,Medium,Average,22:23.5,C104,Present,2.4,0.71,6.08,1,71,44,14,41.53,Medium
10/11/2024,S1179,Danish,Web Development,Low,Below Average,21:19.6,C101,Present,1.58,0.5,1.05,2,50,38,6,37.25,High
10/20/2024,S3721,Areeba,Web Development,Low,Below Average,09:14.3,C101,Late,3.07,0.8,6.3,0,80,42,16,77.19,Low
10/9/2024,S2158,Hira,AI,High,Excellent,20:10.3,C104,Present,3.8,0.95,13.93,0,95,48,20,89.96,Low
10/13/2024,S299,Danish,Data Science,Low,Below Average,23:42.5,C102,Present,0.69,0.59,1.53,4,59,30,7,28.02,High
10/16/2024,S094,Mariam,Cybersecurity,Low,Below Average,16:25.3,C102,Present,1.93,0.58,2.89,3,58,33,10,35.9,High
10/23/2024,S2405,Areeba,AI,High,Excellent,20:32.4,C103,Present,3.57,0.95,16.6,0,95,49,15,84.12,Low
10/7/2024,S3549,Mariam,AI,High,Above Average,04:49.0,C104,Present,2.96,0.83,9.55,1,83,48,13,76.07,Low
10/7/2024,S1576,Ahmed,AI,Medium,Average,15:43.1,C105,Present,2.76,0.75,6.35,1,75,37,11,47.15,Medium
10/7/2024,S3746,Laiba,AI,High,Above Average,13:07.4,C102,Present,2.97,0.86,9.49,0,86,49,12,75.54,Low
